City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Urumqi,CN,43.801,87.6005,70.75,11,0,26.84,clear sky
147,Torbay,CA,47.6666,-52.7314,43.29,90,100,1.99,overcast clouds
148,Vanavara,RU,60.34,102.2797,31.66,54,100,7.54,overcast clouds
149,Sambava,MG,-14.2667,50.1667,77.2,85,75,7.81,broken clouds
150,Saint-Paul,RE,-21.0096,55.2707,73.74,80,0,2.8,clear sky
151,Sibolga,ID,1.7427,98.7792,78.71,83,100,2.51,overcast clouds
152,Molango,MX,20.7833,-98.7167,61.66,94,100,1.99,overcast clouds
153,Yatou,CN,37.15,122.3833,58.62,33,3,10.36,clear sky
154,Guaymas,MX,27.9333,-110.9,82.89,34,0,11.5,clear sky
155,Ilulissat,GL,69.2167,-51.1,17.62,67,9,0.0,clear sky
156,Gornyy,RU,55.1153,83.9059,46.09,90,100,4.36,light rain
157,Ribeira Grande,PT,38.5167,-28.7,62.24,83,11,3.06,few clouds
158,Amot,NO,59.5714,7.9877,31.82,90,87,5.84,overcast clouds
159,Aykhal,RU,66.0,111.5,20.79,85,21,14.94,few clouds
160,Souillac,MU,-20.5167,57.5167,73.8,85,0,5.57,clear sky
161,Eisiskes,LT,54.1667,25.0,40.42,95,86,5.23,overcast clouds
162,Mattru,SL,7.6244,-11.8332,77.79,89,64,1.7,broken clouds
163,Longyearbyen,SJ,78.2186,15.6401,12.04,67,100,2.3,overcast clouds
164,Xingyi,CN,24.1877,102.817,46.49,84,100,4.99,overcast clouds
165,Luba,GQ,3.4568,8.5547,81.1,83,100,7.43,light rain
166,Beringovskiy,RU,63.05,179.3167,20.19,74,32,14.63,scattered clouds
167,San Patricio,US,28.017,-97.5169,81.32,81,97,15.5,overcast clouds
168,Mataura,NZ,-46.1927,168.8643,64.47,55,26,5.37,scattered clouds
169,Salalah,OM,17.0151,54.0924,81.16,81,69,2.98,broken clouds
170,Baiyin,CN,36.5583,104.2081,51.96,35,0,8.88,clear sky
171,Price,US,39.5994,-110.8107,53.92,47,89,14.32,overcast clouds
172,Laguna,US,38.421,-121.4238,84.49,18,0,16.11,clear sky
173,San Ramon,US,37.7799,-121.978,79.02,45,0,17.27,clear sky
174,Sakhon Nakhon,TH,17.1612,104.1472,71.55,78,75,6.91,broken clouds
175,Bonthe,SL,7.5264,-12.505,80.8,84,26,5.28,scattered clouds
176,Nikolsk,RU,53.7189,46.0712,33.3,66,64,5.55,broken clouds
177,Luderitz,NA,-26.6481,15.1594,73.06,24,0,12.08,clear sky
178,Marawi,PH,7.9986,124.2928,77.63,79,97,1.25,overcast clouds
179,Havre-Saint-Pierre,CA,50.2334,-63.5986,36.93,71,95,10.92,overcast clouds
180,Lagoa,PT,39.05,-27.9833,60.96,82,9,2.75,clear sky
181,Belaya Gora,RU,68.5333,146.4167,31.39,100,47,6.38,scattered clouds
182,Chernyshevskiy,RU,63.0128,112.4714,24.28,68,0,6.98,clear sky
183,Lorengau,PG,-2.0226,147.2712,83.14,76,100,2.17,overcast clouds
184,Cherskiy,RU,68.75,161.3,29.48,86,48,10.71,scattered clouds
185,Dunedin,NZ,-45.8742,170.5036,65.8,64,3,5.99,clear sky
186,Hobart,AU,-42.8794,147.3294,67.86,58,75,17.27,broken clouds
187,Rancho Palos Verdes,US,33.7445,-118.387,71.65,78,20,16.11,few clouds
188,Namatanai,PG,-3.6667,152.4333,85.32,67,13,7.45,few clouds
189,Jinchang,CN,38.4953,102.1739,54.73,21,0,6.29,clear sky
190,Plouzane,FR,48.3833,-4.6167,50.32,96,100,9.22,light rain
191,Carnarvon,AU,-24.8667,113.6333,78.87,38,0,9.22,clear sky
192,Flin Flon,CA,54.7682,-101.865,32.4,88,100,6.58,overcast clouds
193,Tateyama,JP,34.9833,139.8667,57.42,66,100,5.82,overcast clouds
194,Ketchikan,US,55.3422,-131.6461,44.58,92,100,10.76,moderate rain
195,Vila,PT,42.0304,-8.1588,45.48,89,76,2.35,broken clouds
196,Tuktoyaktuk,CA,69.4541,-133.0374,33.82,99,100,10.27,overcast clouds
197,Teya,RU,60.3778,92.6267,32.68,77,100,11.63,overcast clouds
198,Laranjeiras Do Sul,BR,-25.4078,-52.4161,60.01,95,27,2.68,scattered clouds
199,Mawlaik,MM,23.6333,94.4167,78.01,67,85,2.24,overcast clouds
200,Pangkalanbuun,ID,-2.6833,111.6167,82.42,79,19,3.71,few clouds
201,Walvis Bay,NA,-22.9575,14.5053,61.39,71,0,8.19,clear sky
