City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Awash,ET,73.99,broken clouds,8.9833,40.1667,Kediga hotel
597,Dicabisagan,PH,83.95,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
603,Guisijan,PH,84.51,few clouds,11.0932,122.0461,Bagongbayan
604,Ladario,BR,82.24,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
609,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
610,Altar,MX,85.96,clear sky,30.7,-111.8167,Hotel Maria Elena
611,Ouricuri,BR,77.02,overcast clouds,-7.8825,-40.0817,Sertão Pousada
612,Tenenkou,ML,90.88,overcast clouds,14.4572,-4.9169,
616,Kawalu,ID,77.86,overcast clouds,-7.3817,108.2082,West Jontor
617,Bara,NG,86.22,broken clouds,10.3744,10.7288,
619,Sur,OM,81.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
622,Amahai,ID,84.72,broken clouds,-3.3333,128.9167,HOTEL ISABELA
627,Tabou,CI,80.67,scattered clouds,4.423,-7.3528,hotêl doufoulougou
629,Pemangkat,ID,81.34,overcast clouds,1.1667,108.9667,Ramah Kost KITA
633,Jalu,LY,75.76,overcast clouds,29.0331,21.5482,صاحبة الفخامة
636,Manzanillo,CU,76.82,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
638,Yellapur,IN,70.66,overcast clouds,14.9667,74.7167,Hotel Sambhram & Lodge
644,Bom Jesus,BR,82.38,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
646,Sokoni,TZ,80.04,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
647,Puerto Leguizamo,CO,72.39,overcast clouds,-0.1934,-74.7819,la casona de juancho
652,Majene,ID,82.92,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
655,Sao Mateus,BR,73.18,clear sky,-18.7161,-39.8589,Hotel Rio Norte
657,Juruti,BR,75.36,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
658,Sola,VU,82.2,moderate rain,-13.8833,167.55,Leumerus Bungalows
660,Port Hueneme,US,74.46,haze,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
666,Danane,CI,71.06,light rain,7.2596,-8.155,Lmd
671,Candolim,IN,82.4,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
672,Carutapera,BR,75.78,moderate rain,-1.195,-46.02,Lidera
673,Kingston,JM,81.55,light rain,17.997,-76.7936,The Jamaica Pegasus Hotel
680,Sal Rei,CV,70.23,clear sky,16.1833,-22.9167,Marine Club Beach Resort
684,Sao Joao De Pirabas,BR,75.27,moderate rain,-0.7747,-47.1772,POUSADA SOL E MAR
685,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
687,Raga,SS,77.18,overcast clouds,8.4596,25.678,
691,Sri Aman,MY,75.25,heavy intensity rain,1.2376,111.4621,Seri Simanggang Hotel
693,Santa Cruz,BO,74.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
