City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Vao,NC,75.33,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
415,Komsomolskiy,UZ,70.52,overcast clouds,40.4272,71.7189,Ikathouse
416,Saint Pete Beach,US,77.0,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
418,Edgewater,US,75.13,few clouds,28.9889,-80.9023,Islander Beach Resort
424,Tomatlan,MX,79.3,clear sky,19.9333,-105.25,El Salvial
427,Upata,VE,77.2,few clouds,8.0086,-62.3989,Posada Villa Nela
429,Mitsamiouli,KM,80.56,clear sky,-11.3847,43.2844,Foyer ADM
434,Lago Da Pedra,BR,74.28,overcast clouds,-4.3333,-45.1667,
435,Mogadishu,SO,81.7,moderate rain,2.0371,45.3438,Hotel Juba
436,Qeshm,IR,80.49,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
437,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
438,Pouembout,NC,82.6,broken clouds,-21.1333,164.9,Camping de Tipenga
439,Bensonville,LR,77.92,light rain,6.4461,-10.6125,Moinga
442,Garowe,SO,80.6,light rain,8.4054,48.4845,Curubo Hotel
447,Fare,PF,80.98,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
449,Cukai,MY,80.55,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
451,Salinopolis,BR,77.47,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
452,Bhitarwar,IN,89.8,overcast clouds,25.8,78.1167,Rahman master
453,Lahij,YE,78.26,clear sky,13.1667,44.5833,
454,Itaituba,BR,74.28,overcast clouds,-4.2761,-55.9836,Hotel Campos
461,Taunggyi,MM,75.18,clear sky,20.7833,97.0333,True Treasure Hotel
465,Puerto Escondido,MX,83.68,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
477,Honiara,SB,83.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
482,Pampa,US,75.24,light rain,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
486,Charlestown,AU,72.01,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
488,San Policarpo,PH,83.37,overcast clouds,12.1791,125.5072,Agapita M. Nicart
489,Gayeri,BF,89.56,scattered clouds,12.6497,0.4931,
490,Cantaura,VE,81.84,few clouds,9.3057,-64.3584,Hotel Lorenzana
491,Dhidhdhoo,MV,85.3,broken clouds,6.8833,73.1,Dhidhoo beach
492,Tonj,SS,79.32,overcast clouds,7.2737,28.6822,Lakan Hotel
493,Vila Do Maio,CV,70.59,clear sky,15.1333,-23.2167,Hotel Marilu
494,Makokou,GA,70.92,overcast clouds,0.5738,12.8642,Hôtel
496,Bandiagara,ML,88.84,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
497,Katherine,AU,88.12,few clouds,-14.4667,132.2667,Pine Tree Motel
498,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
500,Keti Bandar,PK,82.17,clear sky,24.1447,67.4497,Haji laloo memon house
505,Ailigandi,PA,79.74,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
508,Houma,US,75.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
510,Kusti,SD,86.04,overcast clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
512,Los Algarrobos,PA,73.81,broken clouds,8.5,-82.4333,Waterfall Hostel
513,Kaili,ID,77.14,few clouds,-3.4626,120.2147,
515,Yaan,NG,78.31,scattered clouds,7.3833,8.5667,
516,Seguin,US,83.84,clear sky,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
523,Chiknayakanhalli,IN,72.52,few clouds,13.4172,76.6228,AADHYA RESIDENCY
525,Saint-Joseph,RE,72.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
527,Merauke,ID,80.19,overcast clouds,-8.4667,140.3333,
529,Tuscaloosa,US,75.22,broken clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
532,Hobyo,SO,84.04,light rain,5.3505,48.5268,Iftin hotel hobyo
536,Tarrafal,CV,70.59,clear sky,15.2833,-23.7667,Hotel Ixola
538,Bundaberg,AU,73.69,light rain,-24.85,152.35,Takalvan Motel
542,Ballina,AU,75.38,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
544,Pathalgaon,IN,77.58,clear sky,22.5667,83.4667,Queens Park Marriage Garden
546,Tahta,EG,75.67,clear sky,26.7693,31.5021,فندق الزيات
547,Point Pedro,LK,84.2,overcast clouds,9.8167,80.2333,Gtr homes
551,Caraballeda,VE,83.37,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
554,Voh,NC,83.08,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
555,Christchurch,NZ,70.0,clear sky,-43.5333,172.6333,The George
557,Ha Noi,VN,71.6,overcast clouds,21.0245,105.8412,Hotel du Parc Hanoi
561,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
566,Wewak,PG,81.43,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
567,Bijapur,IN,79.29,scattered clouds,16.8333,75.7,Rajdhani Lodge
