City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Wind Speed
93,Saint-Philippe,RE,2022-05-01 04:03:55,-21.3585,55.7679,76.59,24,6.82
94,Marinette,US,2022-05-01 04:08:52,45.1,-87.6307,44.69,100,13.8
95,Port Elizabeth,ZA,2022-05-01 04:04:48,-33.918,25.5701,60.31,47,7.0
96,Carberry,CA,2022-05-01 04:08:53,49.8689,-99.3602,37.27,100,18.81
97,Barrow,US,2022-05-01 04:04:09,71.2906,-156.7887,26.62,100,12.66
98,Longyearbyen,SJ,2022-05-01 04:03:57,78.2186,15.6401,13.84,0,3.44
99,Norman Wells,CA,2022-05-01 04:04:12,65.282,-126.8329,42.24,11,10.69
100,Yellowknife,CA,2022-05-01 04:00:41,62.456,-114.3525,32.56,8,4.0
101,Helong,CN,2022-05-01 04:08:54,42.5397,128.9972,47.75,83,12.57
102,Hermanus,ZA,2022-05-01 04:03:53,-34.4187,19.2345,56.75,6,3.06
103,Camana,PE,2022-05-01 04:08:54,-16.6228,-72.7111,65.66,79,6.08
104,Tasiilaq,GL,2022-05-01 04:04:19,65.6145,-37.6368,30.36,21,6.17
105,Vestmannaeyjar,IS,2022-05-01 04:07:05,63.4427,-20.2734,45.3,21,15.5
106,Huarmey,PE,2022-05-01 04:08:55,-10.0681,-78.1522,66.97,79,7.65
107,Camacha,PT,2022-05-01 04:03:40,33.0833,-16.3333,60.22,40,9.22
108,Shakhtinsk,KZ,2022-05-01 04:08:56,49.71,72.5872,73.06,100,10.87
109,Nabire,ID,2022-05-01 04:08:56,-3.3667,135.4833,83.35,12,2.89
110,Katakwi,UG,2022-05-01 04:08:56,1.8911,33.9661,64.29,100,3.02
111,Asau,RO,2022-05-01 04:04:14,46.4333,26.4,44.96,82,2.19
112,Provideniya,RU,2022-05-01 04:04:59,64.3833,-173.3,32.72,98,14.47
113,Limanowa,PL,2022-05-01 04:08:57,49.7059,20.422,42.42,100,2.39
114,Ola,RU,2022-05-01 04:04:38,59.5833,151.2833,48.15,6,5.64
115,Vila Velha,BR,2022-05-01 04:04:54,-20.3297,-40.2925,71.94,3,4.16
116,Puerto Ayora,EC,2022-05-01 04:05:13,-0.7393,-90.3518,71.4,51,6.11
117,Merauke,ID,2022-05-01 04:04:43,-8.4667,140.3333,80.42,100,10.0
118,Rossland,CA,2022-05-01 04:08:58,49.0831,-117.8022,35.2,93,4.0
